datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual	ms_analytic	pan_analytic	data-mask	proj:code
2024-06-04 07:08:10+00:00	GE01	0.49	0.0.1	105001003B734D00	38	211311112210	25.6	61.3	61.4	38.7	45.8	32738.0	MXRA-Z38-211311112210	429843.75,8654843.75,435156.25,8660156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112210/2024-06-04/105001003B734D00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112210/2024-06-04/105001003B734D00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112210/2024-06-04/105001003B734D00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112210/2024-06-04/105001003B734D00-data-mask.gpkg	
2024-06-04 07:08:10+00:00	GE01	0.49	0.0.1	105001003B734D00	38	211311112211	25.3	61.0	61.8	38.7	45.8	32738.0	MXRA-Z38-211311112211	434843.75,8654843.75,440156.25,8660156.25	28.2	0.6	2	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112211/2024-06-04/105001003B734D00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112211/2024-06-04/105001003B734D00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112211/2024-06-04/105001003B734D00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112211/2024-06-04/105001003B734D00-data-mask.gpkg	
2024-06-04 07:08:11+00:00	GE01	0.49	0.0.1	105001003B734D00	38	211311112203	25.8	61.9	61.2	38.7	45.8	32738.0	MXRA-Z38-211311112203	428724.69559801166,8649843.75,430156.25,8655156.25	7.5	0.8	11	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112203/2024-06-04/105001003B734D00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112203/2024-06-04/105001003B734D00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112203/2024-06-04/105001003B734D00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112203/2024-06-04/105001003B734D00-data-mask.gpkg	
2024-06-04 07:08:11+00:00	GE01	0.49	0.0.1	105001003B734D00	38	211311112212	25.5	61.5	61.6	38.7	45.8	32738.0	MXRA-Z38-211311112212	429843.75,8649843.75,435156.25,8655156.25	28.2	2.9	10	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112212/2024-06-04/105001003B734D00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112212/2024-06-04/105001003B734D00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112212/2024-06-04/105001003B734D00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112212/2024-06-04/105001003B734D00-data-mask.gpkg	
2024-06-06 07:14:37+00:00	WV02	0.59	0.0.1	10300100FD45EF00	38	211311112033	28.1	27.1	58.1	36.9	46.6	32738.0	MXRA-Z38-211311112033	434843.75,8659843.75,440156.25,8661653.502244039	9.5	0.3	3	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112033/2024-06-06/10300100FD45EF00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112033/2024-06-06/10300100FD45EF00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112033/2024-06-06/10300100FD45EF00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112033/2024-06-06/10300100FD45EF00-data-mask.gpkg	
2024-06-06 07:14:37+00:00	WV02	0.59	0.0.1	10300100FD45EF00	38	211311112122	28.0	26.5	58.2	36.9	46.6	32738.0	MXRA-Z38-211311112122	439843.75,8659843.75,440712.67790717736,8661654.716355693	1.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112122/2024-06-06/10300100FD45EF00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112122/2024-06-06/10300100FD45EF00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112122/2024-06-06/10300100FD45EF00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112122/2024-06-06/10300100FD45EF00-data-mask.gpkg	
2024-06-06 07:14:38+00:00	WV02	0.59	0.0.1	10300100FD45EF00	38	211311112211	28.2	26.9	57.9	36.8	46.5	32738.0	MXRA-Z38-211311112211	434843.75,8654843.75,440156.25,8660156.25	28.2	0.6	2	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112211/2024-06-06/10300100FD45EF00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112211/2024-06-06/10300100FD45EF00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112211/2024-06-06/10300100FD45EF00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112211/2024-06-06/10300100FD45EF00-data-mask.gpkg	
2024-06-06 07:14:38+00:00	WV02	0.59	0.0.1	10300100FD45EF00	38	211311112300	28.1	26.3	58.1	36.8	46.5	32738.0	MXRA-Z38-211311112300	439843.75,8654843.75,440722.693916491,8660156.25	4.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112300/2024-06-06/10300100FD45EF00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112300/2024-06-06/10300100FD45EF00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112300/2024-06-06/10300100FD45EF00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112300/2024-06-06/10300100FD45EF00-data-mask.gpkg	
2024-06-06 07:14:38+00:00	WV02	0.59	0.0.1	10300100FD45EF00	38	211311112302	28.2	26.1	58.0	36.8	46.5	32738.0	MXRA-Z38-211311112302	439843.75,8649843.75,440732.7099258046,8655156.25	4.6	0.0	1	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112302/2024-06-06/10300100FD45EF00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112302/2024-06-06/10300100FD45EF00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112302/2024-06-06/10300100FD45EF00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/211311112302/2024-06-06/10300100FD45EF00-data-mask.gpkg	
2024-06-11 07:19:45+00:00	WV03	0.37	0.0.1	104001009713BA00	38	300200022102	25.7	359.3	61.6	34.4	46.8	32738.0	MXRA-Z38-300200022102	519843.75,8589843.75,522592.01298351376,8594636.186740633	13.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022102/2024-06-11/104001009713BA00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022102/2024-06-11/104001009713BA00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022102/2024-06-11/104001009713BA00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022102/2024-06-11/104001009713BA00-data-mask.gpkg	
